date_of_extract_x,organisation_number,registered_charity_number_x,linked_charity_number,charity_name,charity_type,charity_registration_status,date_of_registration,date_of_removal,charity_reporting_status,latest_acc_fin_period_start_date,latest_acc_fin_period_end_date,latest_income,latest_expenditure,charity_contact_address1,charity_contact_address2,charity_contact_address3,charity_contact_address4,charity_contact_address5,charity_contact_postcode,charity_contact_phone,charity_contact_email,charity_contact_web,charity_company_registration_number,charity_insolvent,charity_in_administration,charity_previously_excepted,charity_is_cdf_or_cif,charity_is_cio,cio_is_dissolved,date_cio_dissolution_notice,charity_activities,charity_gift_aid,charity_has_land,date_of_extract_y,registered_charity_number_y,latest_fin_period_submitted_ind,fin_period_order_number,ar_cycle_reference,fin_period_start_date,fin_period_end_date,ar_due_date,ar_received_date,total_gross_income,total_gross_expenditure,charity_raises_funds_from_public,charity_professional_fundraiser,charity_agreement_professional_fundraiser,charity_commercial_participator,charity_agreement_commerical_participator,grant_making_is_main_activity,charity_receives_govt_funding_contracts,count_govt_contracts,charity_receives_govt_funding_grants,count_govt_grants,income_from_government_contracts,income_from_government_grants,charity_has_trading_subsidiary,trustee_also_director_of_subsidiary,does_trustee_receive_any_benefit,trustee_payments_acting_as_trustee,trustee_receives_payments_services,trustee_receives_other_benefit,trustee_resigned_employment,employees_salary_over_60k,count_salary_band_60001_70000,count_salary_band_70001_80000,count_salary_band_80001_90000,count_salary_band_90001_100000,count_salary_band_100001_110000,count_salary_band_110001_120000,count_salary_band_120001_130000,count_salary_band_130001_140000,count_salary_band_140001_150000,count_salary_band_150001_200000,count_salary_band_200001_250000,count_salary_band_250001_300000,count_salary_band_300001_350000,count_salary_band_350001_400000,count_salary_band_400001_450000,count_salary_band_450001_500000,count_salary_band_over_500000,count_volunteers,geographic_area_description,geographic_area_type,service_level,income_band
2026-02-13T00:00:00,4026952,1117150,0,MOBILITY HELP FOR DISABLED PEOPLE IN AFRICA AND THE UK,Other,Registered,2006-12-06T00:00:00,,Submission Received,2024-01-01T00:00:00,2024-12-31T00:00:00,10550.0,10578.0,1 OAKLANDS PLACE,CLAPHAM COMMON,LONDON,,,SW4 7BY ,07462476276,info.@mobilityhelpfordisabled.org,www.mobilityhelpfordisabled.org.uk,,False,False,0.0,,0.0,0.0,,"We Organise social events and activities for the disabled in London We visit the physically disabled in hospitals, Prisons and Nursing Homes throughout the greater london area.We provide information and materials on disability issues We collect equipment to aid mobility for people in Africa particularly in Nigeria  Ghana, Ivory Coast and Sierra Leone",0.0,0.0,2026-03-05T00:00:00,1117150,True,1,AR24,2024-01-01T00:00:00,1735603200000,2025-10-31T00:00:00,2025-07-05T00:00:00,10550,10578,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,10.0,"['Lambeth', 'Lewisham', 'Southwark', 'Ghana', 'Ivory Coast', 'Nigeria', 'Sierra Leone']","['Local Authority', 'Country']",International,q1
2026-02-13T00:00:00,5043843,1156094,0,UNDER THE MANGO TREE (FRIENDS OF KAMBE TIMBONI SCHOOL),Other,Registered,2014-03-11T00:00:00,,Submission Received,2024-01-01T00:00:00,2024-12-31T00:00:00,11866.0,15910.0,73 Carlton Road,Northwich,,,,CW9 5PW,01606352110,utmtcharity@gmail.com,www.underthemangotree.org.uk,,False,False,0.0,,0.0,0.0,,"The charity supports a small rural school in Kenya, the Kambe Timboni Community School. The charity raises funds and invests these funds in helping the school infrastructure to develop and also supporting teaching.",1.0,0.0,2026-03-05T00:00:00,1156094,True,1,AR24,2024-01-01T00:00:00,1735603200000,2025-10-31T00:00:00,2025-03-09T00:00:00,11866,15910,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,12.0,"['Throughout England', 'Kenya']","['Region', 'Country']",International,q1
2026-02-13T00:00:00,5160937,1191287,0,TETARA DEBI EDUCATION CHARITY,CIO,Registered,2020-09-15T00:00:00,,Submission Received,2024-04-01T00:00:00,2025-03-31T00:00:00,7177.0,6880.0,20 BRUNEL CLOSE,ROMFORD,,,,RM1 4GR,01708729140,carolsingh@aol.com,https://tdebi.in/,,False,False,0.0,,1.0,0.0,,"The activities of the Tetara Debi Education Charity are designed to support the establishment and running of the Tetara Debi Academy, a small 5-18 school in Sikandarpur, a village in Siwan district in the north east of India.  It aims to  provide a high quality education based on effective teaching and learning for local children who would otherwise have no opportunity to fulfill their potential.",1.0,1.0,2026-03-05T00:00:00,1191287,True,1,AR25,2024-04-01T00:00:00,1743379200000,2026-01-31T00:00:00,2026-01-31T00:00:00,7177,6880,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2.0,['India'],['Country'],International,q1
2026-02-13T00:00:00,5219192,1203442,0,ZONGO DEVELOPMENT CHARITY,CIO,Registered,2023-06-06T00:00:00,,Submission Received,2024-01-01T00:00:00,2024-12-31T00:00:00,3400.0,0.0,1 CYPRESS ROAD,DUDLEY,,,,DY2 7NS,07737733941,zongodevopmentcharity@gmail.com,,,False,False,0.0,,1.0,0.0,,"The prevention or relief of poverty or financial hardship anywhere in the world by providing or assisting in the provision of education, training, healthcare projects and all the necessary support designed to enable individuals to generate a sustainable income and be self-sufficient.",0.0,0.0,2026-03-05T00:00:00,1203442,True,1,AR24,2024-01-01T00:00:00,1735603200000,2025-10-31T00:00:00,2025-10-11T00:00:00,3400,0,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,6.0,"['Throughout England And Wales', 'Ghana', 'Nigeria', 'Togo']","['Region', 'Country']",International,q1
2026-02-13T00:00:00,5036731,1157874,0,ARF TRUST,Other,Registered,2014-07-16T00:00:00,,Submission Received,2023-07-16T00:00:00,2024-07-15T00:00:00,15592.0,21189.0,CHANT SQUARE,LONDON,,,,E15 4RT,07878083194,arfcharity@live.co.uk,www.arftrust.org,,False,False,0.0,,0.0,0.0,,"ARF TRUST operates in the Sylhet region of Bangladesh providing relief and aid to eradicate poverty and also provides health care, medical aid and emergency disaster and famine relief. ARF TRUST aims to promote and advance education, training and development of skills and employment.",1.0,0.0,2026-03-05T00:00:00,1157874,True,1,AR24,2023-07-16T00:00:00,1721001600000,2025-05-15T00:00:00,2025-04-14T00:00:00,15592,21189,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,"['Throughout London', 'Bradford City', 'Bangladesh']","['Region', 'Local Authority', 'Country']",International,q1
2026-02-13T00:00:00,5170175,1192657,0,UMMAH CENTER,CIO,Registered,2020-12-04T00:00:00,,Submission Received Late,2024-04-01T00:00:00,2025-03-31T00:00:00,9798.0,3016.0,2 Carwood Grove,SHEFFIELD,,,,S4 7FE,07766095088,sheffield.ummahcenter@gmail.com,sheffieldafghans.org,,False,False,0.0,,1.0,0.0,,Soon to be added,1.0,0.0,2026-03-05T00:00:00,1192657,True,1,AR25,2024-04-01T00:00:00,1743379200000,2026-01-31T00:00:00,2026-02-07T00:00:00,9798,3016,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,"['Throughout England', 'Afghanistan']","['Region', 'Country']",International,q1
2026-02-13T00:00:00,5194929,1198945,0,EMPOWERING COMMUNITIES FOR LIFE,CIO,Registered,2022-05-12T00:00:00,,Submission Received,2024-03-16T00:00:00,2025-03-15T00:00:00,2152.0,2239.0,8 PERRY VALE,FOREST HILL,LONDON,,,SE23 2LD,07572105791,ECFL@yahoo.com,,,False,False,0.0,,1.0,0.0,,"Empowering Communities For Life (ECFL) is a charity that values education, equality, inclusivity and health well-being principles. Founded in 2016, ECFL has been working intimately with a country in western Africa, The Gambia. Poverty, physical/ mental ill-health, lack of educational resources and limited support for children with Special Educational Needs (SEN)",0.0,0.0,2026-03-05T00:00:00,1198945,True,1,AR25,2024-03-16T00:00:00,1741996800000,2026-01-15T00:00:00,2025-12-10T00:00:00,2152,2239,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,"['Throughout England', 'The Gambia']","['Region', 'Country']",International,q1
2026-02-13T00:00:00,5158275,1189509,0,OPAAT FOUNDATION (ONE PERSON AT A TIME FOUNDATION),CIO,Registered,2020-05-15T00:00:00,,Submission Received,2024-04-01T00:00:00,2025-03-31T00:00:00,340.0,0.0,29 THORNDIKE AVENUE,ALVASTON,DERBY,,,DE24 8NA,07944497568,tamojami@yahoo.co.uk,,,False,False,0.0,,1.0,0.0,,"We provide financial and material help to students at Kashika combine schoolWe also provide help to mulele old peoples villageAnd we  have plans to offer assistance to the health center in the village as we get donations.All the above activities are done at Kashika Village in Rufunsa, Zambia",0.0,0.0,2026-03-05T00:00:00,1189509,True,1,AR25,2024-04-01T00:00:00,1743379200000,2026-01-31T00:00:00,2026-01-16T00:00:00,340,0,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,['Zambia'],['Country'],International,q1
2026-02-13T00:00:00,5159241,1189130,0,ONE MILE CLOSER,CIO,Registered,2020-04-20T00:00:00,,Submission Received,2024-04-06T00:00:00,2025-04-05T00:00:00,10562.0,15938.0,Orleton Manor,Orleton,LUDLOW,Shropshire,,SY8 4HR,07786822323,info@onemilecloser.com,onemilecloser.com,,False,False,0.0,,1.0,0.0,,"Promotion of and support for education, healthy recreation, mental health and wellbeing and the pursuit of outdoor activities",0.0,0.0,2026-03-05T00:00:00,1189130,True,1,AR25,2024-04-06T00:00:00,1743811200000,2026-02-05T00:00:00,2026-02-03T00:00:00,10562,15938,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2.0,"['Throughout England', 'Uganda', 'South Korea']","['Region', 'Country']",International,q1
2026-02-13T00:00:00,5182871,1196740,0,RALLY TOGETHER,CIO,Registered,2021-11-23T00:00:00,,Submission Received,2024-01-01T00:00:00,2024-12-31T00:00:00,3600.0,10100.0,85 GREAT PORTLAND STREET,LONDON,,,,W1W 7LT,07495916955,rallytogethercharity@gmail.com,,,False,False,0.0,,1.0,0.0,,"Rally Together focuses on the prevention or relief of poverty or financial hardship anywhere in the world. We do this by providing or assisting in the provision of education, training, healthcare projects and all the necessary support designed to enable individuals to generate a sustainable income and be self-sufficient.",0.0,0.0,2026-03-05T00:00:00,1196740,True,1,AR24,2024-01-01T00:00:00,1735603200000,2025-10-31T00:00:00,2025-10-31T00:00:00,3600,10100,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,10.0,['Philippines'],['Country'],International,q1
